"age_regroupe_id","age_regroupe_lib","id_age_match","nom_age_match"
"00","Moins de 15 ans","1","Moins de 30 ans"
"15","15 ? 19 ans","1","Moins de 30 ans"
"20","20 ? 24 ans","1","Moins de 30 ans"
"25","25 ? 39 ans","2","De 30 ? 39 ans"
"40","40 ? 54 ans","3","De 40 ? 59 ans"
"55","55 ? 64 ans","3","De 40 ? 59 ans"
"65","65 ? 79 ans","6","De 70 ? 79 ans"
"80","80 ans ou plus","7","80 ans et plus"
"-9","Age inconnu","-9","Age inconnu"
"YY","Hors r?sidence principale","YY","Hors r?sidence principale"
"ZZ","Hors logement ordinaire","ZZ","Hors logement ordinaire"
