"na17_id","na17_lib","na5_id","na5_lib"
"-9","Nature d'activit? inconnue","-9","Nature d'activit? inconnue"
"AZ","Agriculture, sylviculture et p?che","AZ","Agriculture, sylviculture et p?che"
"AZX","NA17 inconnue - NA5 connue - AZ","AZ","Agriculture, sylviculture et p?che"
"BEX","NA17 inconnue - NA5 connue - BE","BE","Industrie manufacturi?re, industries extractives  et autres"
"C1","Fabrication de denr?es alimentaires, de boissons et  de produits ? base de tabac","BE","Industrie manufacturi?re, industries extractives  et autres"
"C2","Cok?faction et raffinage","BE","Industrie manufacturi?re, industries extractives  et autres"
"C3","Fabrication d'?quipements ?lectriques, ?lectroniques, informatiques ; fabrication de machines","BE","Industrie manufacturi?re, industries extractives  et autres"
"C4","Fabrication de mat?riels de transport","BE","Industrie manufacturi?re, industries extractives  et autres"
"C5","Fabrication d'autres produits industriels","BE","Industrie manufacturi?re, industries extractives  et autres"
"DE","Industries extractives, ?nergie, eau, gestion des d?chets et d?pollution","BE","Industrie manufacturi?re, industries extractives  et autres"
"FZ","Construction","FZ","Construction"
"FZX","NA17 inconnue - NA5 connue - FZ","FZ","Construction"
"GUX","NA17 inconnue - NA5 connue - GU","GU","Commerce, transports et services divers"
"GZ","Commerce ; r?paration d'automobiles et de motocycles","GU","Commerce, transports et services divers"
"HZ","Transports et entreposage","GU","Commerce, transports et services divers"
"IZ","H?bergement et restauration","GU","Commerce, transports et services divers"
"JZ","Information et communication","GU","Commerce, transports et services divers"
"KZ","Activit?s financi?res et d'assurance","GU","Commerce, transports et services divers"
"LZ","Activit?s immobili?res","GU","Commerce, transports et services divers"
"MN","Activit?s scientifiques et techniques ; services administratifs et de soutien","GU","Commerce, transports et services divers"
"OQ","Administration publique, enseignement, sant? humaine et action sociale","OQ","Administration publique, enseignement, sant? humaine et action sociale"
"OQX","NA17 inconnue - NA5 connue - OQ","OQ","Administration publique, enseignement, sant? humaine et action sociale"
"RU","Autres activit?s de services","GU","Commerce, transports et services divers"
"ZZ","Sans objet","ZZ","Sans objet"
