"gid","id_geofla","code_comm","insee_com","nom_comm","statut","x_chf_lieu","y_chf_lieu","x_centroid","y_centroid","z_moyen","superficie","population","code_cant","code_arr","code_dept","nom_dept","code_reg","nom_region"
"1","1","201","97201","L'AJOUPA-BOUILLON","Chef-lieu canton","7029","16397","7019","16386","389","1229","1.7","01","2","97","MARTINIQUE","02","MARTINIQUE"
"2","2","202","97202","LES ANSES-D'ARLET","Chef-lieu canton","7069","16029","7077","16038","148","2597","3.9","02","3","97","MARTINIQUE","02","MARTINIQUE"
"3","3","203","97203","BASSE-POINTE","Chef-lieu canton","7022","16446","7019","16416","272","2783","3.7","03","2","97","MARTINIQUE","02","MARTINIQUE"
"4","4","204","97204","LE CARBET","Chef-lieu canton","6956","16272","6975","16271","160","1776","3.8","04","4","97","MARTINIQUE","02","MARTINIQUE"
"5","5","205","97205","CASE-PILOTE","Chef-lieu canton","7004","16196","7018","16214","270","1861","4.5","05","4","97","MARTINIQUE","02","MARTINIQUE"
"6","6","206","97206","LE DIAMANT","Chef-lieu canton","7128","16017","7133","16027","99","2793","6.1","06","3","97","MARTINIQUE","02","MARTINIQUE"
"7","7","207","97207","DUCOS","Chef-lieu canton","7180","16123","7189","16126","36","3128","16.9","07","3","97","MARTINIQUE","02","MARTINIQUE"
"8","8","208","97208","FONDS-SAINT-DENIS","Commune simple","7010","16302","7029","16288","526","2366","0.9","29","4","97","MARTINIQUE","02","MARTINIQUE"
"9","9","209","97209","FORT-DE-FRANCE","Pr?fecture de r?gion","7079","16157","7079","16195","201","4353","87.2","99","1","97","MARTINIQUE","02","MARTINIQUE"
"10","10","210","97210","LE FRANCOIS","Chef-lieu canton","7259","16168","7256","16157","59","5462","19.2","94","3","97","MARTINIQUE","02","MARTINIQUE"
"11","11","211","97211","GRAND'RIVIERE","Commune simple","6956","16451","6958","16425","399","1655","0.6","18","2","97","MARTINIQUE","02","MARTINIQUE"
"12","12","212","97212","GROS-MORNE","Chef-lieu canton","7145","16269","7125","16274","273","4598","10.6","15","2","97","MARTINIQUE","02","MARTINIQUE"
"13","13","213","97213","LE LAMENTIN","Chef-lieu canton","7152","16167","7161","16177","47","6792","39.4","95","1","97","MARTINIQUE","02","MARTINIQUE"
"14","14","214","97214","LE LORRAIN","Chef-lieu canton","7092","16407","7070","16372","261","5026","7.5","17","2","97","MARTINIQUE","02","MARTINIQUE"
"15","15","215","97215","MACOUBA","Chef-lieu canton","6995","16454","6988","16431","283","1709","1.2","18","2","97","MARTINIQUE","02","MARTINIQUE"
"16","16","216","97216","LE MARIGOT","Chef-lieu canton","7121","16395","7098","16350","247","2180","3.6","19","2","97","MARTINIQUE","02","MARTINIQUE"
"17","17","217","97217","LE MARIN","Sous-pr?fecture","7295","16009","7308","16023","82","3209","8.7","20","3","97","MARTINIQUE","02","MARTINIQUE"
"18","18","218","97218","LE MORNE-ROUGE","Chef-lieu canton","7005","16341","7022","16336","422","3755","5.1","21","4","97","MARTINIQUE","02","MARTINIQUE"
"19","19","219","97219","LE PRECHEUR","Chef-lieu canton","6910","16370","6933","16392","318","2997","1.7","23","4","97","MARTINIQUE","02","MARTINIQUE"
"20","20","220","97220","RIVIERE-PILOTE","Chef-lieu canton","7259","16025","7265","16050","126","3580","13.2","24","3","97","MARTINIQUE","02","MARTINIQUE"
"21","21","221","97221","RIVIERE-SALEE","Chef-lieu canton","7175","16071","7192","16068","66","4300","12.8","25","3","97","MARTINIQUE","02","MARTINIQUE"
"22","22","222","97222","LE ROBERT","Chef-lieu canton","7219","16236","7215","16234","84","4592","23.9","96","2","97","MARTINIQUE","02","MARTINIQUE"
"23","23","223","97223","SAINT-ESPRIT","Chef-lieu canton","7222","16107","7239","16105","93","2317","9.3","27","3","97","MARTINIQUE","02","MARTINIQUE"
"24","24","224","97224","SAINT-JOSEPH","Chef-lieu canton","7112","16228","7106","16234","245","4336","16.7","28","1","97","MARTINIQUE","02","MARTINIQUE"
"25","25","225","97225","SAINT-PIERRE","Sous-pr?fecture","6964","16307","6967","16342","341","3856","4.4","29","4","97","MARTINIQUE","02","MARTINIQUE"
"26","26","226","97226","SAINTE-ANNE","Chef-lieu canton","7284","15969","7312","15971","34","4063","4.7","30","3","97","MARTINIQUE","02","MARTINIQUE"
"27","27","227","97227","SAINTE-LUCE","Chef-lieu canton","7240","16005","7214","16024","103","2866","9.9","31","3","97","MARTINIQUE","02","MARTINIQUE"
"28","28","228","97228","SAINTE-MARIE","Chef-lieu canton","7159","16351","7134","16337","161","4460","18.4","97","2","97","MARTINIQUE","02","MARTINIQUE"
"29","29","229","97229","SCHOELCHER","Chef-lieu canton","7045","16167","7046","16199","262","2109","20.8","98","1","97","MARTINIQUE","02","MARTINIQUE"
"30","30","230","97230","LA TRINITE","Sous-pr?fecture","7192","16304","7207","16304","70","4650","13.7","34","2","97","MARTINIQUE","02","MARTINIQUE"
"31","31","231","97231","LES TROIS-ILETS","Chef-lieu canton","7117","16081","7115","16069","88","2848","7.6","35","3","97","MARTINIQUE","02","MARTINIQUE"
"32","32","232","97232","LE VAUCLIN","Chef-lieu canton","7327","16091","7308","16089","78","4029","9.2","36","3","97","MARTINIQUE","02","MARTINIQUE"
"33","33","233","97233","LE MORNE-VERT","Commune simple","6998","16267","7007","16263","440","1332","1.9","04","4","97","MARTINIQUE","02","MARTINIQUE"
"34","34","234","97234","BELLEFONTAINE","Commune simple","6976","16230","6995","16233","252","1181","1.4","05","4","97","MARTINIQUE","02","MARTINIQUE"
