"mode_id","mode_nom","categorie2_id","categorie2_nom","categorie1_id","categorie1_nom"
"111","Sans transport","11","Sans transport","1","Sans transport"
"211","Marche ? pied","21","Modes individuels doux","2","Transport individuel"
"212","V?lo","21","Modes individuels doux","2","Transport individuel"
"219","Autre mode doux","21","Modes individuels doux","2","Transport individuel"
"21X","Mode doux inconnu","21","Modes individuels doux","2","Transport individuel"
"221","2RM","22","Modes individuels motoris?s","2","Transport individuel"
"222","Voiture","22","Modes individuels motoris?s","2","Transport individuel"
"229","Autre mode motoris?","22","Modes individuels motoris?s","2","Transport individuel"
"22X","Mode motoris? inconnu","22","Modes individuels motoris?s","2","Transport individuel"
"299","Autre mode individuel","29","Autres modes individuels","2","Transport individuel"
"2XX","Mode individuel inconnu","2X","Mode individuel inconnu","2","Transport individuel"
"311","Bus ou car urbain","31","TC urbain et p?riurbain","3","Transport collectif"
"312","Tramway","31","TC urbain et p?riurbain","3","Transport collectif"
"313","M?tro","31","TC urbain et p?riurbain","3","Transport collectif"
"319","Autre TC urbain","31","TC urbain et p?riurbain","3","Transport collectif"
"31X","TC urbain inconnu","31","TC urbain et p?riurbain","3","Transport collectif"
"321","Train","32","TC inter urbain","3","Transport collectif"
"322","Bus ou car interurbain","32","TC inter urbain","3","Transport collectif"
"329","Autre TC interurbain","32","TC inter urbain","3","Transport collectif"
"32X","TC interurbain inconnu","32","TC inter urbain","3","Transport collectif"
"399","Autre TC","39","Autre TC","3","Transport collectif"
"3XX","TC inconnu","3X","TC inconnu","3","Transport collectif"
"411","Covoiturage passager","41","Covoiturage","4","Transport parall?le"
"412","Covoiturage conducteur","41","Covoiturage","4","Transport parall?le"
"41X","Covoiturage inconnu","41","Covoiturage","4","Transport parall?le"
"421","VLS ","42","Location de v?hicules","4","Transport parall?le"
"422","Autopartage","42","Location de v?hicules","4","Transport parall?le"
"423","Voiture ?lectrique ou hybride (de location)","42","Location de v?hicules","4","Transport parall?le"
"42X","Type de location inconnu","42","Location de v?hicules","4","Transport parall?le"
"431","Taxi","43","Taxi et v?lo taxi","4","Transport parall?le"
"432","V?lo taxi","43","Taxi et v?lo taxi","4","Transport parall?le"
"43X","Type taxi inconnu","43","Taxi et v?lo taxi","4","Transport parall?le"
"499","Autre TP","49","Autre TP","4","Transport parall?le"
"4XX","TP inconnu","4X","TP inconnu","4","Transport parall?le"
"999","Autre mode de transport","99","Autre mode de transport","9","Autre transport"
"XXX","Mode de transport inconnu","XX","Mode de transport inconnu","X","Mode de transport inconnu"
