"communaute_communes_id","communaute_communes_nom","pays_id","pays_nom"
"40001","COLLINES DU PERCHE","1","Pays Vend?mois"
"40002","PAYS DE VEND?ME","1","Pays Vend?mois"
"40003","VEND?MOIS RURAL","1","Pays Vend?mois"
"40009","AGGLOPOLYS","3","Pays des Ch?teaux"
"40013","BEAUCE LIG?RIENNE","2","Pays Beauce Val de Loire"
"40016","BEAUCE ORATORIENNE","2","Pays Beauce Val de Loire"
"40017","BEAUCE ET FOR?T","2","Pays Beauce Val de Loire"
"40019","SOLOGNE DES ETANGS","5","Pays de Grande Sologne"
"40020","BEAUCE ET G?TINE","1","Pays Vend?mois"
"40021","CHER ? LA LOIRE","4","Pays de la Vall?e du Cher et du Romorantinais"
"40022","GRAND CHAMBORD","3","Pays des Ch?teaux"
"40023","SOLOGNE DES RIVI?RES","5","Pays de Grande Sologne"
"40024","C?UR DE SOLOGNE","5","Pays de Grande Sologne"
"40026","ROMORANTINAIS ET  MONESTOIS","4","Pays de la Vall?e du Cher et du Romorantinais"
"40027","PERCHE ET HAUT-VEND?MOIS","1","Pays Vend?mois"
"40028","VALL?ES LOIR ET BRAYE","1","Pays Vend?mois"
"40029","VAL-DE-CHER - CONTROIS","4","Pays de la Vall?e du Cher et du Romorantinais"
